antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'1487580009605365797', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.02477424491937965,0.2124359832787419,0.018657594238042672,0.7531044558071585,3.5450889448375307,0.01339465315860588,3.1898672748266335,0.7361573734188208
"frozenset({'1487580005092295511', '1487580010100293687'})",frozenset({'1487580005268456287'}),0.031795725583162925,0.17915633652436708,0.022068803271865216,0.6940808195788275,3.8741628292026693,0.016372397559251652,2.6832043101891845,0.7662429697079297
"frozenset({'1487580010100293687', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.029099332235472956,0.2124359832787419,0.022068803271865216,0.7583955223880596,3.5699955849426517,0.015887058015667727,3.259724424421577,0.7414637075300315
"frozenset({'1487580005092295511', '1602943681873052386'})",frozenset({'1487580005268456287'}),0.055800865017463216,0.17915633652436708,0.03451926383032628,0.6186152099886493,3.4529351402790676,0.024522185278906858,2.1522716295298587,0.7523744623715707
"frozenset({'1602943681873052386', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.04685209649106933,0.2124359832787419,0.03451926383032628,0.7367709540363074,3.468202244577248,0.024566192643575475,2.9919343203101056,0.7466482146931822
"frozenset({'1605161575889502297', '1487580005092295511'})",frozenset({'1487580005268456287'}),0.01798802005103241,0.17915633652436708,0.012577136756003547,0.6991951710261569,3.9027096924984246,0.009354468982333723,2.7288247541631403,0.7573917499189629
"frozenset({'1605161575889502297', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.016060732188421797,0.2124359832787419,0.012577136756003547,0.7830985915492957,3.6862803535584407,0.009165259321379623,3.6309769602083968,0.7406187131072755
"frozenset({'1487580005092295511', '1783999063314661546'})",frozenset({'1487580005268456287'}),0.022059754972040754,0.17915633652436708,0.015246385204220126,0.6911402789171451,3.8577495628972245,0.011294240318804112,2.6576585013991934,0.7574915932148292
"frozenset({'1783999063314661546', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.020241046707323695,0.2124359832787419,0.015246385204220126,0.7532409476978095,3.5457314531760162,0.010946458544358877,3.191631712691039,0.7328034539871903
"frozenset({'1487580005092295511', '1783999068909863670'})",frozenset({'1487580005268456287'}),0.01685698257297454,0.17915633652436708,0.011563727175663693,0.6859903381642511,3.82900405016347,0.008543691933034475,2.6140713590685536,0.7515035637412899
"frozenset({'1783999068909863670', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.0149839845093107,0.2124359832787419,0.011563727175663693,0.7717391304347826,3.6328079571254497,0.008380589692994838,3.4502804542074164,0.7357553858729531
"frozenset({'1487580005092295511', '2007399943458784057'})",frozenset({'1487580005268456287'}),0.015418302900884924,0.17915633652436708,0.011120360484265006,0.721244131455399,4.025780753544837,0.00835807382111944,2.9446686369736383,0.7633708616593647
"frozenset({'2007399943458784057', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.014341555221773829,0.2124359832787419,0.011120360484265006,0.7753943217665614,3.6500140409318016,0.008073698098981107,3.506429681188746,0.7365923307700942
"frozenset({'1487580005092295511', '2084144451428549153'})",frozenset({'1487580005268456287'}),0.015744041694565593,0.17915633652436708,0.01061365569409508,0.6741379310344827,3.7628472657610583,0.00779301086200982,2.518991136591889,0.7459886742744873
"frozenset({'2084144451428549153', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.01464919741580557,0.2124359832787419,0.01061365569409508,0.7245213094502779,3.4105394870868824,0.007501639036824019,2.858892697470217,0.7172991121151727
"frozenset({'1487580005092295511', '2195085255034011676'})",frozenset({'1487580005268456287'}),0.015273530103693516,0.17915633652436708,0.0100707577046273,0.6593601895734598,3.68036209248887,0.007334408005454934,2.409711485124989,0.7395836578872611
"frozenset({'2195085255034011676', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.013662932734939105,0.2124359832787419,0.0100707577046273,0.7370860927152317,3.4696856970228294,0.007168259154609202,2.9955205673780845,0.721649302526524
"frozenset({'1602943681873052386', '1487580005511725929'})",frozenset({'1487580005092295511'}),0.016513147179644944,0.2124359832787419,0.01058651079462169,0.6410958904109589,3.0178309743776457,0.007078524136487232,2.1943577565134293,0.6798628553203364
"frozenset({'1487580005671109489', '1487580005595612013'})",frozenset({'1487580005092295511'}),0.0314337935901844,0.2124359832787419,0.01598834578982609,0.5086355785837651,2.3943004887094537,0.009310676940314252,1.6028104241884302,0.6012407572558424
"frozenset({'1487580006317032337', '1487580005595612013'})",frozenset({'1487580005092295511'}),0.03253768616876889,0.2124359832787419,0.019462892922419876,0.5981646273637374,2.815740620452574,0.012550717567542335,1.9599170962834904,0.6665413651427543
"frozenset({'1487580007281722301', '1487580005595612013'})",frozenset({'1487580005092295511'}),0.019933404513291952,0.2124359832787419,0.01191661086881775,0.5978211529732184,2.8141237832990096,0.007682038480943662,1.9582432605382976,0.6577610207804223
"frozenset({'1487580005595612013', '1487580007675986893'})",frozenset({'1487580005092295511'}),0.031108054796503738,0.2124359832787419,0.017671329557176207,0.5680628272251309,2.6740424030695555,0.011062859348591952,1.823330026591034,0.646134334293323
"frozenset({'1487580005595612013', '1487580008145748965'})",frozenset({'1487580005092295511'}),0.02531714290884743,0.2124359832787419,0.014974936209486237,0.591493924231594,2.784339616586903,0.009596664061836804,1.9279126148609624,0.6574942869675549
"frozenset({'1487580005595612013', '1487580009286598681'})",frozenset({'1487580005092295511'}),0.03542409381277258,0.2124359832787419,0.019661955518558063,0.555044699872286,2.612762166304,0.012136603317683322,1.769984572596857,0.6399323104952036
"frozenset({'1487580005595612013', '1487580009387261981'})",frozenset({'1487580005092295511'}),0.019716245317504842,0.2124359832787419,0.01240521905933875,0.6291877007801743,2.961775547952266,0.008216779098749717,2.123888604499531,0.6756866964487815
"frozenset({'1487580009445982239', '1487580005595612013'})",frozenset({'1487580005092295511'}),0.027506831466367468,0.2124359832787419,0.01664887167701189,0.605263157894737,2.849155536426039,0.01080543088757148,1.9951621756938545,0.6673762153144386
"frozenset({'1487580009605365797', '1487580005595612013'})",frozenset({'1487580005092295511'}),0.01774371595577191,0.2124359832787419,0.01061365569409508,0.5981642019377869,2.815738617844805,0.006844251948011972,1.959915021307598,0.6565021871310809
